,反应物,生成物
20436,0.25-0.25*y Bi2O3 + 0.25*x K2CO3 + 0.5*y Li2CO3 + 0.25-0.25*y-0.25*x Na2CO3 + 0.5*y Nb2O5 + 1-y TiO2 ,1 (1-x-y)Bi0.5Na0.5TiO3-xBi0.5K0.5TiO3-yLiNbO3 + 0.25+0.25*y CO2
20437,0.5-0.5*x Bi2O3 + 0.5 Fe2O3 + 0.5*x Ho2O3 ,1 Bi1-xHoxFeO3
20438,2 Cu + 4 Se + 1 Sn + 1 Zn ,1 Cu2ZnSnSe4
20439,0.5*x Co2O3 + 0.15 Cr2O3 + 1-x CuO + 0.7 HgO + 2 Sr(NO3)2 + 4 [OH-] ,1 (Hg0.7Cr0.3)Sr2(Cu1-xMx)O4 + 2 H2O + 0.075+0.25*x O2 + 4 [NO3-]; M = Co
20440,0.15 Cr2O3 + 1-x CuO + 0.7 HgO + 2 Sr(NO3)2 + x ZnO + 4 [OH-] ,1 (Hg0.7Cr0.3)Sr2(Cu1-xMx)O4 + 2 H2O + 0.075 O2 + 4 [NO3-]; M = Zn
20441,0.15 Cr2O3 + 1-x CuO + 0.7 HgO + x NiO + 2 Sr(NO3)2 + 4 [OH-] ,1 (Hg0.7Cr0.3)Sr2(Cu1-xMx)O4 + 2 H2O + 0.075 O2 + 4 [NO3-]; M = Ni
20442,0.5*x Co2O3 + 0.15 Cr2O3 + 1-x CuO + 2 Sr(NO3)2 + 4 [OH-] ,1 Cr0.3Sr2(Cu1-xMx)O + 2 H2O + 1.225+0.25*x O2 + 4 [NO3-]; M = Co
20443,0.15 Cr2O3 + 1-x CuO + 2 Sr(NO3)2 + x ZnO + 4 [OH-] ,1 Cr0.3Sr2(Cu1-xMx)O + 2 H2O + 1.225 O2 + 4 [NO3-]; M = Zn
20444,0.15 Cr2O3 + 1-x CuO + x NiO + 2 Sr(NO3)2 + 4 [OH-] ,1 Cr0.3Sr2(Cu1-xMx)O + 2 H2O + 1.225 O2 + 4 [NO3-]; M = Ni
20445,x CaCO3 + 0.5-0.5*x La2O3 + 1 MnO2 ,1 La1-xCaxMnO3 + x CO2 + 0.25-0.25*x O2
20446,x CaCO3 + 0.5 La2O3 + 0.5-x MgO + 0.5 SnO2 ,1 La(Mg0.5-xCaxSn0.5)O3 + x CO2
20447,0.5 Li2CO3 + 2 MnCO3 + 0.75 O2 ,1 LiMn2O4 + 2.5 CO2
20448,2-0.5*x Bi2O3 + 0.5*x La2O3 + 3 TiO2 ,1 Bi4-xLaxTi3O12
20449,1.75 Bi2O3 + 0.25 La2O3 + 0.5*y Nb2O5 + 3-y TiO2 ,1 Bi3.5La0.5Ti3-yNbyO12 + 0.25*y O2
20450,1 K2CO3 + 1 La2O3 + 2 Nb2O5 + 2 PbO + 4 TiO2 + 2 WO3 ,1 K2Pb2La2W2Ti4Nb4O30 + 1 CO2
20451,0.48 CaCO3 + 0.16 MgO + 0.2 Nd2O3 + 0.2 SnO2 + 0.12 SrCO3 + 0.6 TiO2 + 0.04 ZnO ,1 0.4Nd(Mg0.4Zn0.1Sn0.5)O3-0.6Ca0.8Sr0.2TiO3 + 0.6 CO2
20452,0.075 Eu2O3 + x GeO2 + 0.075 Li2CO3 + 1-x SiO2 + 1.7 SrCO3 ,1 Eu0.15Sr1.7Li0.15Si1-xGexO4 + 1.775 CO2
20453,0.2 La2O3 + 0.5 Mn2O3 + 0.15 O2 + 0.6 SrCO3 ,1 La0.4Sr0.6MnO3 + 0.6 CO2
20454,3 (NH4)2HPO4 + 0.5 Gd2O3 + 3 SrCO3 ,"1 Sr3Gd(PO4)3 + 3 CO2 + 4.5 H2O + 6 NH3 ; target Sr3Gd(PO4)3 with additives Ce, Tb via CeO2, Tb4O7 ; target Sr3Gd(PO4)3 with additives Ce, Tb via CeO2, Tb4O7"
20455,1 BaCO3 + 0.25 Fe2O3 + 0.25 Nb2O5 ,1 Ba(FeNb)0.5O3 + 1 CO2
20456,1 BaCO3 + 1 La2O3 + 1 ZnO ,1 BaLa2ZnO5 + 1 CO2
20457,1 BaCO3 + 1 CaCO3 + 1.333 Co3O4 ,1 CaBaCo4O7 + 2 CO2 + 0.167 O2
20458,1 BaCO3 + 1 CaCO3 + 1.333-0.333*x Co3O4 ,1 CaBaCo4-xO7 + 2 CO2 + 0.167-0.667*x O2
20459,x MnCO3 + 1-x ZnO ,1 Zn1-xMnxO + x CO2
20460,x Cu + 0.5*x O2 + 1-x ZnO ,1 Zn1-xCuxO
20461,2 Bi2O3 + 0.75*x O2 + x SrO + 1-0.5*x V2O5 ,1 Bi4V2-xSrxO11
20462,0.5*x Al2O3 + 1 CoO + 1-0.5*x Fe2O3 ,1 CoAlxFe2-xO4
20463,0.5 Cr2O3 + 0.5 Y2O3 ,1 YCrO3
20464,0.01 La2O3 + 0.1 Nb2O5 + 0.97 PbO + 0.329 TiO2 + 0.1 ZnO + 0.371 ZrO2 ,1 Pb0.97La0.02(Zn1/3Nb2/3)0.3(Zr0.53Ti0.47)0.7O3
20465,2 CaCO3 + 0.5 Ho2O3 + 0.5 Sb2O5 ,1 A2HoSbO6 + 2 CO2; A = Ca
20466,2 BaCO3 + 0.5 Ho2O3 + 0.5 Sb2O5 ,1 A2HoSbO6 + 2 CO2; A = Ba
20467,0.5 Ho2O3 + 0.5 Sb2O5 + 2 SrCO3 ,1 A2HoSbO6 + 2 CO2; A = Sr
20468,3-x (NH4)H2PO4 + 0.5+0.5*x Na2CO3 + x SiO2 + 2 ZrO2 ,1 Na1+xZr2SixP3-xO12 + 0.5+0.5*x CO2 + 4.5-1.5*x H2O + 3-x NH3
20469,0.01 BaCO3 + 0.15 CaCO3 + 0.3 La2O3 + 0.05 MnO2 ,1 La0.6Ca0.15-0.05Ba0.2MnO3 + 0.16 CO2 + 0.505 O2
20470,1 Li2CO3 + 1 TiO2 ,1 Li2TiO3 + 1 CO2
20471,1 Li2CO3 + 1 TiO2 ,1 Li2TiO3 + 1 CO2
20472,10 Al2O3 + 5 B2O3 + x BaO + 45 SiO2 + 30-x SrO + 10 Y2O3 ,1 (30-x)SrO-xBaO-45SiO2-10Al2O3-10Y2O3-5B2O3
20473,1 La2O3 + 3 TeO2 ,1 La2Te3O9
20474,1 La2O3 + 4 TeO2 ,1 La2Te4O11
20475,1 Gd2O3 + 2 ZrO2 ,1 Gd2Zr2O7
20476,1 Nd2O3 + 2 ZrO2 ,1 Nd2Zr2O7
20477,1 Gd2O3 + 2 TiO2 ,1 Gd2Ti2O7
20478,0.5*x Bi2O3 + 1-0.5*x La2O3 + 2 ZrO2 ,1 BixLa2-xZr2O7
20479,1-0.5*y La2O3 + 0.75*y O2 + 2 ZrO2 ,1 La2-yZr2O7 ; target La2-yZr2O7 with additives ySm3+ via Sm2O3 ; target La2-yZr2O7 with additives ySm3+ via Sm2O3
20480,0.975-0.5*x La2O3 + 0.038+0.75*x O2 + 2 ZrO2 ,1 La1.95-xZr2O7 ; target La1.95-xZr2O7 with additives Sm via Sm2O3 ; target La1.95-xZr2O7 with additives Sm via Sm2O3
20481,1 BaCO3 + 0.333 O2 + 0.667 U3O8 ,1 BaU2O7 + 1 CO2
20482,1 BaCO3 + 1 PuO2 ,1 BaPuO3 + 1 CO2
20483,1 Li2CO3 + 1 TiO2 ,1 Li2TiO3 + 1 CO2
20484,1 CaO + 2 TiO2 + 1 ZrO2 ,1 CaZrTi2O7 ; target CaZrTi2O7 with additives Ce via CeO2 ; target CaZrTi2O7 with additives Ce via CeO2
20485,1 PuO2 + 1 SrCO3 ,1 SrPuO3 + 1 CO2
20486,1-x ThO2 + x UO2 ,1 (1-x)ThO2-xUO2
20487,0.4 Fe2O3 + 1.2 NH4H2PO4 ,1 0.4Fe2O3-0.6P2O5 + 1.8 H2O + 1.2 NH3
20488,2 Sc2O3 + 3 TiO2 ,1 Sc4Ti3O12
20489,0.333 Fe3O4 + 1 NH4H2PO4 + 0.083 O2 ,1 FePO4 + 1.5 H2O + 1 NH3
20490,26.667 Fe3O4 + 120 NH4H2PO4 + 6.667 O2 ,1 40Fe2O3-60P2O5 + 180 H2O + 120 NH3
20491,0.2 CeO2 + 0.8 ThO2 ,1 Th0.8Ce0.2O2.00
20492,x CeO2 + 1-0.5*x Lu2O3 + 2 TiO2 ,1 Lu2-xCexTi2O7 + 0.25*x O2
20493,1 MgO + 1 PuO2 ,1 MgO-PuO2
20494,0.5 Li2CO3 + 2 MnCO3 + 0.75 O2 ,1 LiMn2O4 + 2.5 CO2
20495,0.5*x Cr2O3 + 2-x GeO2 + 0.5+0.5*x Li2CO3 + 3 NH4H2PO4 ,1 Li1+xCrxGe2-x(PO4)3 + 0.5+0.5*x CO2 + 4.5 H2O + 3 NH3
20496,0.5+0.5*x Li2CO3 + 2-x MnOOH + 0.25+0.5*x O2 ,1 Li1+xMn2-xO4 + 0.5+0.5*x CO2 + 1-0.5*x H2O
20497,1 Li2S + 1 P2S5 ,1 Li2S-P2S5
20498,0.333-0.333*x Co3(PO4)2\u00b78H2O + 0.333*x Fe3(PO4)2\u00b78H2O + 0.333 Li3PO4 ,1 LiCo1-xFexPO4 + 2.667 H2O
20499,0.15 La2O3 + 0.5*x Sc2O3 + 0.7 SrCO3 + 1-x TiO2 ,1 La0.3Sr0.7ScxTi1-xO3 + 0.7 CO2 + 0.075-0.25*x O2
20500,0.275 Bi2O3 + 0.275 NiO + 0.45 PbO + 0.725 TiO2 ,1 0.45PbTiO3-0.55Bi(Ni1/2Ti1/2)O3
20501,0.33 CaCO3 + 0.105 Eu2O3 + 0.23 La2O3 + 1 MnO2 ,1 La0.46Eu0.21Ca0.33MnO3 + 0.33 CO2 + 0.168 O2
20502,0.5*y Gd2O3 + 3-z GeO2 + 3 MgCO3 + z SiO2 + 1-0.5*y Y2O3 ,1 Mg3Y2-yGdyGe3-zSizO12 + 3 CO2 ; target Mg3Y2-yGdyGe3-zSizO12 with additives Ce via CeO2 ; target Mg3Y2-yGdyGe3-zSizO12 with additives Ce via CeO2
20503,0.038 Dy2O3 + 0.962 Fe2O3 + 1 NiO ,1 NiFe1.925Dy0.075O4
20504,1 CaCO3 + 1 TiO2 ,"1 CaTiO3 + 1 CO2 ; target CaTiO3 with additives Dy, Eu via Dy2O3, Eu2O3 ; target CaTiO3 with additives Dy, Eu via Dy2O3, Eu2O3"
20505,x MnCO3 + 1 SiO2 + 2-x ZnO ,1 MnxZn2-xSiO4 + x CO2
20506,0.5 Nb2O5 + 0.166 Nd2O3 ,1 Nd1/3NbO3
20507,1 La1.85Ca0.15CuO4 ,1 La1.85Ca0.15CuO3.5 + 0.25 O2
20508,3-0.5*x Ca2P2O7 + 3 CaCO3 + 1 CaF2 + 0.5*x La2O3 + x SiO2 ,1 Ca10-xLax(PO4)6-x(SiO4)xF2 + 3 CO2
20509,0.5*x Eu2O3 + 0.5 Gd2O3 + 4 NH4H2PO4 + 0.5 Na2CO3 + 0.25*y Tb4O7 ,1 NaEuxGd(1-x-y)Tby(PO3)4 + 0.5 CO2 + 6 H2O + 4 NH3 + 0.75*x+0.875*y O2
20510,1 PbCO3 + 1-x TiO2 + x ZrO2 ,1 Pb(ZrxTi1-x)O3 + 1 CO2
20511,1 CaCO3 + 3 CuO + 4 TiO2 ,1 CaCu3Ti4O12 + 1 CO2
20512,1 SiO2 + 1 Yb2O3 ,1 Yb2SiO5
20513,1 SiC(Al) + 1 ZrB2 ,1 ZrB2-SiC(Al)
20514,1 KH2PO4 + 1 NH4H2PO4 + 0.5 Sb2O5 ,1 KSb(PO4)2 + 2.5 H2O + 1 NH3
20515,0.8 BaCO3 + 0.2 SrCO3 + 0.9 TiO2 + 0.1 ZrO2 ,1 (Ba0.8Sr0.2)(Ti0.9Zr0.1)O3 + 1 CO2
20516,0.25 CaCO3 + 0.75 CuO + 1 TiO2 ,1 Ca0.25Cu0.75TiO3 + 0.25 CO2
20517,12 BaF2 + 0.5 Er2O3 + 10 Ga2O3 + 65 GeO2 + 8 LiF + 5 Y2O3 ,1 65GeO2-10Ga2O3-12BaF2-5Y2O3-8LiF-0.5Er2O3
20518,12 BaF2 + 0.5 Er2O3 + 10 Ga2O3 + 65 GeO2 + 8 LiF + 5 Nb2O5 ,1 65GeO2-10Ga2O3-12BaF2-5Nb2O5-8LiF-0.5Er2O3
20519,x CeO2 + 0.5 Mn2O3 + 0.25-0.5*x O2 + 1-x SrCO3 ,1 Sr1-xCexMnO3 + 1-x CO2
20520,0.02 MnO2 + 0.85 PbO + 0.05 Sm2O3 + 0.98 TiO2 ,1 (Pb0.85Sm0.1)(Ti0.98Mn0.02)O3
20521,0.5+0.5*x Cr2O3 + x Mo + 1.25-0.75*x O2 + 2 SrCO3 ,1 Sr2Cr1+xMoxO6 + 2 CO2
20522,0.04 La2O3 + 0.92 PbO + 0.343 TiO2 + 0.637 ZrO2 ,1 (Pb0.92La0.08)(Zr0.65Ti0.35)0.98O3
20523,1 BaCO3 + 6.5 V2O5 ,1 BaV13O18 + 1 CO2 + 7.75 O2
20524,1 SrCO3 + 6.5 V2O5 ,1 SrV13O18 + 1 CO2 + 7.75 O2
20525,1 PbO + 0.5 TiO2 + 0.5 ZrO2 ,1 Pb(Ti0.5Zr0.5)O3
20526,0.3 BaCO3 + 0.233 Nb2O5 + 0.7 PbO + 0.3 TiO2 + 0.233 ZnO ,1 0.7Pb(Zn1/3Nb2/3)O3-0.3BaTiO3 + 0.3 CO2
20527,2 Al(NO3)3\u00b79H2O + 1-x CaCO3 + x SrCO3 + 6 [OH-] ,1 Ca1-xSrxAl2O4 + 1 CO2 + 21 H2O + 6 [NO3-]
20528,1-x CeO2 + 0.5*x Nd2O3 ,1 Ce1-xNdxO2-x/2
20529,1 C + 1 W0.5Al0.5 ,1 (W0.5Al0.5)C
20530,0.2 Nb2O5 + 1 PbO + 0.066 Ta2O5 + 0.2 TiO2 + 0.267 ZnO ,1 Pb((Zn1/3Ta2/3)0.2(Zn1/3Nb2/3)0.6Ti0.2)O3
20531,1-x Y2O3 + x Yb2O3 ,1 (YbxY1-x)2O3
20532,x Ca(NO3)2\u00b74H2O + 1 Fe(NO3)2\u00b79H2O + 1-x La(NO3)3\u00b76H2O + 0.25+0.25*x O2 + 5-x [OH-] ,1 (La1-xCax)FeO3 + 17.5-2.5*x H2O + 5-x [NO3-]
20533,4 MgO + 0.5-0.5*x Nb2O5 + 0.5 Ta2O5 + 0.5*x V2O5 ,1 Mg4(TaNb1-xVx)O9
20534,1 B2O3 + 1 CuO + 2 PbO ,1 Pb2CuB2O6
20535,x BaCO3 + 0.334 Nb2O5 + 1-x SrCO3 + 0.333 Zn(NO3)2\u00b76H2O + 0.666 [OH-] ,1 (BaxSr1-x)(Zn1/3Nb2/3)O3 + 1 CO2 + 2.331 H2O + 0.666 [NO3-]
20536,x CeO2 + 0.016-0.333*x MnO2 + 0.016-0.334*x Nb2O5 + 0.333-0.983*x Pb3O4 + 0.016-0.334*x Sb2O3 + 0.048-0.05*x SrCO3 + 0.456-0.48*x TiO2 + 0.016-0.333*x ZnO + 0.494-0.52*x ZrO2 ,1 (0.95-x)Pb0.95Sr0.05(Zr0.52Ti0.48)O3-(0.048-x)Pb(Zn1/3Nb2/3)O3-(0.048-x)Pb(Mn1/3Sb2/3)O3-xCeO2 + 0.048-0.05*x CO2 + 0.158-0.325*x O2
20537,1 CaCO3 + 1 CaTiO3 + 0.25 Fe2O3 + 0.25 Nb2O5 ,1 CaTiO3-Ca(Fe0.5Nb0.5)O3 + 1 CO2
20538,0.5 CO2 + 0.19 K2CO3 + 0.31 Li2CO3 + 0.25 O2 ,1 Li0.62K0.38CO3
20539,160-2*x H3BO3 + x Li2CO3 + 20 ZnO ,1 xLi2O-20ZnO-(80-x)B2O3 + x CO2 + 240-3*x H2O
20540,0.333-0.333*x Co3O4 + 0.5 Li2CO3 + x MnCO3 + 1 NH4H2PO4 ,1 LiCo1-xMnxPO4 + 0.5+x CO2 + 1.5 H2O + 1 NH3 + 0.167-0.167*x O2
20541,0.333-0.333*x Co3O4 + 0.5 Li2CO3 + x MgO + 1 NH4H2PO4 ,1 LiCo1-xMgxPO4 + 0.5 CO2 + 1.5 H2O + 1 NH3 + 0.167-0.167*x O2
20542,0.3 Co3O4 + 0.5 Li2CO3 + 1 NH4H2PO4 + 0.1 NiO ,1 LiCo0.9Ni0.1PO4 + 0.5 CO2 + 1.5 H2O + 1 NH3 + 0.15 O2
20543,4 Bi2O3 + 1 SrCO3 + 7 TiO2 ,1 Bi4Ti3O12-SrBi4Ti4O15 + 1 CO2 ; target Bi4Ti3O12-SrBi4Ti4O15 with additives W via WO6 ; target Bi4Ti3O12-SrBi4Ti4O15 with additives W via WO6
20544,1-x BaCO3 + x CaCO3 + 1 TiO2 ,1 Ba1-xCaxTiO3 + 1 CO2
20545,1 BaCO3 + x HfO2 + 1-x TiO2 ,1 Ba(Ti1-xHfx)O3 + 1 CO2
20546,0.8 BaCO3 + 0.2 SrCO3 + 1 TiO2 ,1 Ba0.8Sr0.2TiO3 + 1 CO2
20547,y CaCO3 + x*(1-y) CoO + (0.6-0.6*x)*(1-y) MgCO3 + 0.5-0.5*y-0.5*x*(1-y)-0.5*(0.4-0.4*x)*(1-y)-0.5*(0.6-0.6*x)*(1-y) O2 + 1 TiO2 + (0.4-0.4*x)*(1-y) ZnO ,1 (1-y)(Mg0.6Zn0.4)1-xCoxTiO3-yCaTiO3 + y+(0.6-0.6*x)*(1-y) CO2
20548,0.5*x Ga2O3 + 6-x GeO2 + 4 La2O3 + 1 Y2O3 ,1 La8Y2(GeO4)6-x(GaO4)xO3-x/2
20549,0.5*x Ga2O3 + 6-x GeO2 + 5 La2O3 ,1 La10(GeO4)6-x(GaO4)xO3-x/2
20550,5 BaCO3 + 2 Nb2O5 ,1 Ba5Nb4O15 + 5 CO2
20551,1 BaCO3 + 1 Nb2O5 ,1 BaNb2O6 + 1 CO2
20552,1 Nb2O5 + 1 ZnO ,1 ZnNb2O6
20553,1 Nb2O5 + 3 ZnO ,1 Zn3Nb2O8
20554,1-x CdS + x MnS ,1 Cd1-xMnxS
20555,1 Bi2O3 + 0.666 Nb2O5 + 0.667 ZnO ,1 Bi2(Zn1/3Nb2/3)2O7
20556,6 Bi2O3 + 0.5 SiO2 + 0.5 TiO2 ,1 Bi12(Ti0.5Si0.5)O20
20557,3 BaCO3 + 1 MgO + x Nb2O5 + 1-x Ta2O5 ,1 Ba3Mg(Ta1-xNbx)2O9 + 3 CO2
20558,0.5*x Al2O3 + 2.75-0.5*x Ga2O3 + 1.5 La2O3 + 0.25 Nb2O5 ,1 La3Nb0.5Ga5.5-xAlxO14
20559,1-x BaF2 + 0.333*z Bi2O3 + x-0.667*z BiF3 ,1 Ba1-xBixOzF2+x-2z
20560,x CaCO3 + 2-x TiO2 + 0.5*x V2O5 + 1-0.5*x Y2O3 ,1 Y2-xCaxTi2-xVxO7 + x CO2
20561,1 Bi2O3 + 1 SrCO3 + 1-x Ta2O5 + 2*x WO3 ,1 SrBi2(WxTa1-x)2O9 + 1 CO2 + 0.5*x O2
20562,0.06-0.06*x BaCO3 + 0.235-0.235*x Bi2O3 + 0.235-0.235*x Na2CO3 + 1-x TiO2 + x Y2O3 ,1 (1-x)(Bi0.5Na0.5)0.94Ba0.06TiO3-xY2O3 + 0.295-0.295*x CO2
20563,8 H3BO3 + 1.5 Na2CO3 + 4.5 Y2O3 ,1 Na3Y9O3(BO3)8 + 1.5 CO2 + 12 H2O ; target Na3Y9O3(BO3)8 with additives Eu via Eu2O3 ; target Na3Y9O3(BO3)8 with additives Eu via Eu2O3
20564,0.68 BaCO3 + 0.32 SrCO3 + 1 TiO2 ,1 Ba0.68Sr0.32TiO3 + 1 CO2
20565,1 BaCO3 + 0.8 CeO2 + 0.05 O2 + 0.1 Y2O3 ,1 BaCe0.8Y0.2O3 + 1 CO2
20566,1 BaCO3 + 0.9-x CeO2 + 0.05 Nb2O5 + 0.5*x Y2O3 ,1 BaCe0.9-xYxNb0.1O3 + 1 CO2 + 0.025-0.25*x O2
20567,0.25 K2CO3 + 0.25 Na2CO3 + 0.5-0.5*x Nb2O5 + 0.5*x Ta2O5 ,1 (K0.5Na0.5)(Nb1-xTax)O3 + 0.5 CO2
20568,0.2 4MgCO3-Mg(OH)2\u00b75H2O + 11 Al(OH)3 + 0.5 La2O3 ,1 LaMgAl11O19 + 0.8 CO2 + 17.7 H2O
20569,0.24 K2CO3 + 0.26 Na2CO3 + 0.5 Nb2O5 ,1 Na0.52K0.48NbO3 + 0.5 CO2
20570,4 BaCO3 + 1 MgO + 11 TiO2 ,1 Ba4MgTi11O27 + 4 CO2
20571,1 Ba(OH)2\u00b78H2O + 1 CuO + 2 H3BO3 ,1 BaCu(B2O5) + 12 H2O
20572,0.5 La2O3 + 0.5 Nb2O5 ,1 LaNbO4
20573,5 BaCO3 + 3.5 Nb2O5 + 0.5 Sm2O3 + 3 TiO2 ,1 Ba5SmTi3Nb7O30 + 5 CO2
20574,2 CaCO3 + 4-4*x Gd2O3 + 6 H2SiO3 + 6*x O2 ,1 Ca2Gd8-8x(SiO4)6O2 + 2 CO2 + 6 H2O ; target Ca2Gd8-8x(SiO4)6O2 with additives xDy3+ via Dy2O3 ; target Ca2Gd8-8x(SiO4)6O2 with additives xDy3+ via Dy2O3
20575,0.5*x+0.5*y O2 + 1 SnO2 + 2-x-y SrCO3 ,1 Sr2-x-ySnO4 + 2-x-y CO2 ; target Sr2-x-ySnO4 with additives Smx via Sm2O3 ; target Sr2-x-ySnO4 with additives Smx via Sm2O3
20576,2 Al + 1.5 O2 + 1 SiO2 + 1 Y2O3 ,1 Y2O3-Al2O3-SiO2
20577,0.25 Bi2O3 + 0.038 K2CO3 + 0.212 Na2CO3 + 1 TiO2 ,1 (Na0.85K0.15)0.5Bi0.5TiO3 + 0.25 CO2
20578,10 CaCO3 + 0.5 K2CO3 + 7 NH4H2PO4 ,"1 Ca10K(PO4)7 + 10.5 CO2 + 10.5 H2O + 7 NH3 ; target Ca10K(PO4)7 with additives Eu, Mo via Eu2O3, MoO3 ; target Ca10K(PO4)7 with additives Eu, Mo via Eu2O3, MoO3"
20579,3 MnO + 1 TeO3 ,1 Mn3TeO6
20580,1 BaCO3 + 0.75 TiO2 + 0.25 Zr(NO3)4\u00b75H2O + 1 [OH-] ,1 BaZr0.25Ti0.75O3 + 1 CO2 + 1.75 H2O + 1 [NO3-]
20581,2 CaCO3 + 1 MnO2 + 1 TiO2 ,1 Ca2TiMnO6 + 2 CO2
20582,2 Bi + 3 Te ,1 Bi2Te3
20583,3 Co(NO3)2\u00b76H2O + 1 H2TeO4\u00b72H2O + 6 [OH-] ,1 Co3TeO6 + 24 H2O + 6 [NO3-]
20584,1 CaCO3 + 2 Li2CO3 + 2 SiO2 + 1 SrCO3 ,1 Li4SrCa(SiO4)2 + 4 CO2 ; target Li4SrCa(SiO4)2 with additives xTb3+ via Tb2O7 ; target Li4SrCa(SiO4)2 with additives xTb3+ via Tb2O7
20585,1 Ce(NO3)3\u00b7H2O + 0.25 O2 + 2 Sr(NO3)2 + 7 [OH-] ,1 Sr2CeO4 + 4.5 H2O + 7 [NO3-]
20586,2 AgNO3 + x CdI2 + 0.4 V2O5 + 2 [OH-] ,1 xCdI2-Ag2O-0.4V2O5 + 1 H2O + 2 [NO3-]
20587,1 O2 + 1 Sb2O3 + 1 ZnO ,1 ZnSb2O6
20588,1.1 Bi2O3 + 0.8 SrCO3 + 1 Ta2O5 ,1 Sr0.8Bi2.2Ta2O9 + 0.8 CO2 + 0.05 O2
20589,x CaO + 0.5 Cu2O + 0.5-0.5*x Ga2O3 + 0.25*x O2 ,1 CuGa1-xCaxO2
20590,0.5 Cu2O + 0.5-0.5*x Ga2O3 + x MgO + 0.25*x O2 ,1 CuGa1-xMgxO2
20591,2 (NH4)2HPO4 + 1 H2SiO3 + 5 SrCO3 ,1 Sr5(PO4)2SiO4 + 5 CO2 + 4 H2O + 4 NH3 ; target Sr5(PO4)2SiO4 with additives Ce via CeO2 ; target Sr5(PO4)2SiO4 with additives Ce via CeO2
20592,1.1 Bi2O3 + 0.1 Na2CO3 + 1 Nb2O5 + 0.6 SrCO3 ,1 Sr0.6(BiNa)0.2Bi2Nb2O9 + 0.7 CO2
20593,0.06 La2O3 + 0.97*x MnO2 + 0.88 PbO + 0.97-0.97*x TiO2 ,1 Pb0.88La0.12(Ti1-xMnx)0.97O3
20594,1 Bi2O3 + 0.5*x Ho2O3 + 1 Nb2O5 + 1-1.5*x SrCO3 ,1 Sr1-1.5xHoxBi2Nb2O9 + 1-1.5*x CO2
20595,1 CaCO3 + 3 CuO + 4 TiO2 ,1 CaCu3Ti4O12 + 1 CO2
20596,3 (NH4)2HPO4 + 4.5 BaCO3 + 0.5 BaCl2\u00b72H2O ,"1 Ba5(PO4)3Cl + 4.5 CO2 + 5.5 H2O + 6 NH3 ; target Ba5(PO4)3Cl with additives Eu via Eu, Eu2O3 ; target Ba5(PO4)3Cl with additives Eu via Eu, Eu2O3"
20597,0.06 BaO + 0.235 Bi2O3 + 0.235 Na2CO3 + 1 TiO2 ,1 (Bi0.5Na0.5)0.94Ba0.06TiO3 + 0.235 CO2
20598,2 BaCO3 + 2 SiO2 + 1 TiO2 ,1 Ba2TiSi2O8 + 2 CO2
20599,0.198-0.25*x In2O3 + 0.268-0.25*x Nb2O5 + 1 PbO + x TiO2 + 0.07 ZnO ,1 (0.79-x)Pb(In1/2Nb1/2)O3-0.21Pb(Zn1/3Nb2/3)O3-xPbTiO3
20600,1 BaCO3 + 0.15 Ga2O3 + 0.15-0.15*x Nb2O5 + 0.15*x O2 + 0.15*x Sb2O3 + 0.4 TiO2 ,1 Ba(Ti0.4Ga0.3Nb0.3-0.3xSb0.3x)O3 + 1 CO2
20601,0.425 La2O3 + 1 MnO2 + 0.15 TeO2 ,1 La0.85Te0.15MnO3 + 0.288 O2
20602,1 Ir + 1 Na2CO3 + 1 O2 ,1 Na2IrO3 + 1 CO2
20603,1-x BaCO3 + 0.5 Li2CO3 + 1 NH4H2PO4 + 0.5*x Sm2O3 ,1 SmxLiBa1-xPO4 + 1.5-x CO2 + 1.5 H2O + 1 NH3 + 0.25*x O2
20604,0.245 K2CO3 + 0.245 Na2CO3 + 0.49 Nb2O5 + 0.026 O2 + 0.001 Sb2O3 + 0.001 Ta2O5 ,1 0.98(Na0.5K0.5)NbO3-0.02Li0.04(Sb0.06Ta0.1)O3 + 0.49 CO2
20605,1 BaCO3 + 0.875-0.5*x La2O3 + 0.188+0.75*x O2 + 1 WO3 ,"1 BaLa1.75-xWO7 + 1 CO2 ; target BaLa1.75-xWO7 with additives 0.25Dy3+, xEu3+ via Dy2O3, Eu2O3 ; target BaLa1.75-xWO7 with additives 0.25Dy3+, xEu3+ via Dy2O3, Eu2O3"
20606,1 Al2O3 + 1 BaCO3 + 2 SiO2 ,1 BaAl2Si2O8 + 1 CO2
20607,1 CaCO3 + 0.5 K2CO3 + 2 NH4H2PO4 + 0.5 Y2O3 ,1 KCaY(PO4)2 + 1.5 CO2 + 3 H2O + 2 NH3 ; target KCaY(PO4)2 with additives Ce via CeO2 ; target KCaY(PO4)2 with additives Ce via CeO2
20608,1-0.5*x Gd2O3 + 0.5*x Li2CO3 + 0.5*x O2 + 2 TiO2 ,1 (Gd2-xLix)Ti2O7 + 0.5*x CO2
20609,1-0.5*x Gd2O3 + 0.75*x O2 + 2 TiO2 ,1 Gd2-xTi2O7
20610,4 SiO2 + 4 SrCO3 + 4 SrCl2\u00b76H2O ,1 Sr8Si4O12Cl8 + 4 CO2 + 24 H2O
20611,x BaCO3 + 1-0.5*x La2O3 + 2-y MoO3 + 0.25*x O2 + y WO3 ,1 La2-xBaxMo2-yWyO9 + x CO2
